"","price","city_name","voivodeship","year_of_production","mileage","age"
"1",9500,"Banino","Pomorskie","2000 ",29000,20
"2",9499,"Wrocław","Dolnośląskie","2019 ",1,1
"3",10500,"Tłuszcz","Mazowieckie","1999 ",54485,21
"4",10900,"Kraków","Małopolskie","2013 ",12000,7
"5",5099,"Katowice","Śląskie","2020 ",1,0
"6",6690,"Rzeszów","Podkarpackie","2019 ",8250,1
"7",13900,"Sulęcin","Lubuskie","2019 ",1,1
"8",17990,"Tarnów","Małopolskie","2019 ",1,1
"9",17900,"Tarnów","Małopolskie","2019 ",1,1
"10",18900,"Tarnów","Małopolskie","2019 ",1,1
"11",19900,"Tarnów","Małopolskie","2019 ",1,1
"12",5850,"Ścinawa","Dolnośląskie","2009 ",23000,11
"13",10000,"Piekary Śląskie","Śląskie","2010 ",6100,10
"14",3500,"Wielogóra","Mazowieckie","1997 ",12800,23
"15",5498,"Katowice","Śląskie","2019 ",1,1
"16",15500,"Warszawa","Mazowieckie","2019 ",1,1
"17",4799,"Nakło nad Notecią","Kujawsko-pomorskie","2019 ",1,1
"18",5799,"Nakło nad Notecią","Kujawsko-pomorskie","2019 ",1,1
"19",13900,"Gdańsk","Pomorskie","2001 ",29517,19
"20",5899,"Wrocław","Dolnośląskie","2019 ",1,1
"21",13900,"Brodnica","Kujawsko-pomorskie","2002 ",25770,18
"22",4300,"Miejska Górka","Wielkopolskie","2000 ",45000,20
"23",7800,"Tarnobrzeg","Podkarpackie","2011 ",11360,9
"24",4799,"Ciechanów","Mazowieckie","2019 ",1,1
"25",12900,"Kraków","Małopolskie","2019 ",1,1
"26",20900,"Radom","Mazowieckie","2020 ",1,0
"27",12700,"Bogumiłowice","Małopolskie","2006 ",24000,14
"28",2800,"Rzeczyca Ziemiańska","Lubelskie","2006 ",9800,14
"29",10200,"Ruda Śląska","Śląskie","2020 ",1,0
"30",4999,"Tarnowskie Góry","Śląskie","2017 ",1,3
"31",5299,"Tarnowskie Góry","Śląskie","2019 ",1,1
"32",6999,"Tarnowskie Góry","Śląskie","2018 ",1,2
"33",14500,"Warszawa","Mazowieckie","2019 ",1,1
"34",17990,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"35",7900,"Gostyń","Śląskie","2001 ",55000,19
"36",13499,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"37",16990,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"38",3850,"Poznań","Wielkopolskie","2006 ",47621,14
"39",11900,"Ostrołęka","Mazowieckie","2016 ",9000,4
"40",11500,"Ostrołęka","Mazowieckie","2014 ",9672,6
"41",17900,"Łódź","Łódzkie","2018 ",1,2
"42",12990,"Jasło","Podkarpackie","2018 ",1,2
"43",7300,"Warta","Łódzkie","2013 ",9900,7
"44",7490,"Zamość","Lubelskie","2018 ",6600,2
"45",10999,"Kokoszkowy","Pomorskie","1999 ",5996,21
"46",13500,"Piekary Śląskie","Śląskie","2000 ",19167,20
"47",16999,"Rzeszów","Podkarpackie","2019 ",1,1
"48",13500,"Rzeszów","Podkarpackie","2019 ",1,1
"49",9599,"Częstochowa","Śląskie","2020 ",1,0
"50",5699,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"51",7600,"Pietrzykowice","Dolnośląskie","2020 ",1,0
"52",11499,"Tuplice","Lubuskie","2017 ",5000,3
"53",10499,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"54",14900,"Augustów","Podlaskie","2017 ",7000,3
"55",14990,"Gorzów Wielkopolski","Lubuskie","2019 ",1,1
"56",4499,"Żurawice","Dolnośląskie","2018 ",126,2
"57",9900,"Skórcz","Pomorskie","1998 ",34000,22
"58",13700,"Tworóg","Śląskie","2018 ",475,2
"59",5999,"Katowice","Śląskie","2017 ",1,3
"60",5299,"Katowice","Śląskie","2019 ",1,1
"61",13500,"Warszawa","Mazowieckie","2019 ",1,1
"62",13500,"Warszawa","Mazowieckie","2019 ",1,1
"63",16999,"Warszawa","Mazowieckie","2019 ",1,1
"64",8400,"Katowice","Śląskie","2020 ",1,0
"65",6700,"Katowice","Śląskie","2017 ",1,3
"66",6999,"Katowice","Śląskie","2018 ",1,2
"67",7798,"Katowice","Śląskie","2019 ",1,1
"68",6999,"Katowice","Śląskie","2018 ",600,2
"69",14999,"Radom","Mazowieckie","2020 ",1400,0
"70",4900,"Jazowsko","Małopolskie","1999 ",51000,21
"71",8599,"Katowice","Śląskie","2018 ",1,2
"72",10500,"Tarnowskie Góry","Śląskie","2013 ",40000,7
"73",10800,"Tarnowskie Góry","Śląskie","2013 ",40000,7
"74",5499,"Radom","Mazowieckie","2004 ",28000,16
"75",4300,"Wielogóra","Mazowieckie","1996 ",4400,24
"76",8900,"Kielce","Świętokrzyskie","2020 ",1,0
"77",8900,"Kielce","Świętokrzyskie","2020 ",1,0
"78",3900,"Pajęczno","Łódzkie","1997 ",9500,23
"79",8500,"Marki","Mazowieckie","2019 ",1,1
"80",8900,"Kielce","Świętokrzyskie","2020 ",1,0
"81",9199,"Kielce","Świętokrzyskie","2020 ",1,0
"82",6500,"Bydgoszcz","Kujawsko-pomorskie","2016 ",1650,4
"83",7999,"Kaczkowo","Wielkopolskie","1998 ",16000,22
"84",12450,"Dąbrowa Górnicza","Śląskie","2002 ",34000,18
"85",6799,"Nakło nad Notecią","Kujawsko-pomorskie","2019 ",1,1
"86",9000,"Golub-Dobrzyń","Kujawsko-pomorskie","2012 ",22500,8
"87",6500,"Katowice","Śląskie","2009 ",8791,11
"88",11900,"Dąbrowa Górnicza","Śląskie","1999 ",25000,21
"89",9000,"Chojnice","Pomorskie","2017 ",9140,3
"90",21400,"Kłodzko","Dolnośląskie","2019 ",1,1
"91",29200,"Kłodzko","Dolnośląskie","2017 ",1,3
"92",1400,"Jaworznik","Śląskie","2014 ",1000,6
"93",12800,"Wiskitki","Mazowieckie","2007 ",22300,13
"94",8100,"Godziesze Wielkie","Wielkopolskie","1962 ",24300,58
"95",2699,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"96",2399,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"97",5798,"Gliwice","Śląskie","2019 ",1,1
"98",13600,"Dąbrowa Górnicza","Śląskie","2002 ",30000,18
"99",7200,"Warszawa","Mazowieckie","2019 ",5000,1
"100",8799,"Ruda Śląska","Śląskie","2019 ",1,1
"101",9190,"Grodzisk Mazowiecki","Mazowieckie","2019 ",1,1
"102",15900,"Warszawa","Mazowieckie","2020 ",1,0
"103",16800,"Warszawa","Mazowieckie","2019 ",907,1
"104",14600,"Warszawa","Mazowieckie","2019 ",1,1
"105",5299,"Tarnowskie Góry","Śląskie","2019 ",1,1
"106",17700,"Warszawa","Mazowieckie","2020 ",1,0
"107",4300,"Konin","Wielkopolskie","2003 ",21200,17
"108",16900,"Warszawa","Mazowieckie","2020 ",1,0
"109",8499,"Ciechanów","Mazowieckie","2019 ",1,1
"110",8900,"Marki","Mazowieckie","2020 ",1,0
"111",16499,"Katowice","Śląskie","2019 ",1,1
"112",9999,"Katowice","Śląskie","2019 ",1,1
"113",4800,"Świętochłowice","Śląskie","2016 ",237,4
"114",8500,"Łazy","Mazowieckie","2018 ",2300,2
"115",8699,"Barlinek","Zachodniopomorskie","2020 ",1,0
"116",5299,"Barlinek","Zachodniopomorskie","2019 ",1,1
"117",5999,"Barlinek","Zachodniopomorskie","2020 ",1,0
"118",5999,"Barlinek","Zachodniopomorskie","2019 ",1,1
"119",13500,"Tarnów","Małopolskie","2017 ",8100,3
"120",18499,"Katowice","Śląskie","2019 ",1,1
"121",7999,"Ruda Śląska","Śląskie","2019 ",1,1
"122",12999,"Katowice","Śląskie","2019 ",1,1
"123",18499,"Katowice","Śląskie","2019 ",1,1
"124",12999,"Katowice","Śląskie","2019 ",1,1
"125",7500,"Raszyn","Mazowieckie","2011 ",12844,9
"126",11900,"Gdańsk","Pomorskie","2003 ",12563,17
"127",8800,"Legnica","Dolnośląskie","2019 ",400,1
"128",5699,"Ruda Śląska","Śląskie","2019 ",1,1
"129",5499,"Ruda Śląska","Śląskie","2019 ",1,1
"130",21900,"Kraków","Małopolskie","2019 ",1,1
"131",9200,"Kraków","Małopolskie","2020 ",1,0
"132",10500,"Strzyżów","Podkarpackie","2014 ",24421,6
"133",9000,"Płock","Mazowieckie","2010 ",21000,10
"134",8288,"Siedlce","Mazowieckie","2018 ",1,2
"135",13000,"Dąbrowa Górnicza","Śląskie","2000 ",9400,20
"136",12700,"Dąbrowa Górnicza","Śląskie","2000 ",33000,20
"137",9900,"Rzeszów","Podkarpackie","2015 ",13000,5
"138",6500,"Gorzów Wielkopolski","Lubuskie","1976 ",1111111,44
"139",17700,"Poznań","Wielkopolskie","2020 ",1,0
"140",5300,"Piaski","Wielkopolskie","2019 ",1,1
"141",9999,"Lublin","Lubelskie","2020 ",1,0
"142",6999,"Piaski","Wielkopolskie","2019 ",1,1
"143",10999,"Piaski","Wielkopolskie","2020 ",1,0
"144",6499,"Piaski","Wielkopolskie","2019 ",1,1
"145",6599,"Piaski","Wielkopolskie","2019 ",1,1
"146",10799,"Piaski","Wielkopolskie","2019 ",1,1
"147",9199,"Piaski","Wielkopolskie","2020 ",1,0
"148",6000,"Kleosin","Podlaskie","2005 ",6101,15
"149",3499,"Ruda Śląska","Śląskie","2019 ",1,1
"150",7199,"Gliwice","Śląskie","2019 ",1,1
"151",19900,"Gliwice","Śląskie","2018 ",1,2
"152",2999,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"153",2299,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"154",2699,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"155",18650,"Szczecin","Zachodniopomorskie","2020 ",1,0
"156",6800,"Stoczek Łukowski","Lubelskie","1999 ",16880,21
"157",11500,"Piaski","Wielkopolskie","1998 ",4843,22
"158",7000,"Grodków","Opolskie","2010 ",12042,10
"159",12300,"Mizerów","Śląskie","2004 ",14000,16
"160",6099,"Ruda Śląska","Śląskie","2020 ",1,0
"161",10999,"Dulowa","Małopolskie","2020 ",1,0
"162",15499,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"163",7500,"Knurów","Śląskie","2019 ",3500,1
"164",9399,"Pułtusk","Mazowieckie","2013 ",25500,7
"165",9840,"Pułtusk","Mazowieckie","2013 ",11500,7
"166",4000,"Rudnik Pierwszy","Lubelskie","2000 ",900,20
"167",8999,"Gliwice","Śląskie","2020 ",1,0
"168",8799,"Gliwice","Śląskie","2020 ",1,0
"169",7800,"Gliwice","Śląskie","2018 ",1,2
"170",17800,"Gliwice","Śląskie","2018 ",1,2
"171",8900,"Pietrzykowice","Dolnośląskie","2020 ",1,0
"172",5999,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"173",10799,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"174",1849,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"175",7990,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"176",9799,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"177",9199,"Pietrzykowice","Dolnośląskie","2020 ",1,0
"178",5400,"Zabrze","Śląskie","1997 ",7000,23
"179",14099,"Wrocław","Dolnośląskie","2018 ",1,2
"180",11500,"Bilcza","Świętokrzyskie","2001 ",14269,19
"181",6999,"Gliwice","Śląskie","2019 ",1,1
"182",11300,"Poznań","Wielkopolskie","2019 ",1,1
"183",17700,"Warszawa","Mazowieckie","2020 ",1,0
"184",3499,"Gliwice","Śląskie","2019 ",1,1
"185",4199,"Gliwice","Śląskie","2020 ",1,0
"186",11900,"Piaseczno","Mazowieckie","2020 ",1,0
"187",10900,"Chabielice","Łódzkie","2015 ",17600,5
"188",8600,"Wojakowa","Małopolskie","1999 ",40000,21
"189",11249,"Dulowa","Małopolskie","2019 ",1,1
"190",2500,"Swadzim","Wielkopolskie","2019 ",2095,1
"191",21900,"Warszawa","Mazowieckie","2020 ",1,0
"192",6950,"Gołańcz","Wielkopolskie","2008 ",33000,12
"193",9700,"Łódź","Łódzkie","2007 ",18600,13
"194",9999,"Radom","Mazowieckie","2009 ",21000,11
"195",12500,"Bolesławiec","Dolnośląskie","2020 ",1700,0
"196",2799,"Lublin","Lubelskie","2020 ",1,0
"197",11000,"Oświęcim","Małopolskie","2000 ",38500,20
"198",10999,"Grudziądz","Kujawsko-pomorskie","2020 ",1,0
"199",3399,"Gliwice","Śląskie","2019 ",1,1
"200",11900,"Dobrzewino","Pomorskie","2007 ",34000,13
"201",10799,"Pietrzykowice","Dolnośląskie","2019 ",1,1
"202",9199,"Pietrzykowice","Dolnośląskie","2020 ",1,0
"203",5599,"Dulowa","Małopolskie","2019 ",1,1
"204",6799,"Dulowa","Małopolskie","2019 ",1,1
"205",7699,"Dulowa","Małopolskie","2019 ",1,1
"206",15500,"Gdańsk","Pomorskie","2019 ",1,1
"207",18200,"Łódź","Łódzkie","2020 ",1,0
"208",11900,"Katowice","Śląskie","1999 ",37700,21
"209",2399,"Wrocław","Dolnośląskie","2020 ",1,0
"210",3584,"Wrocław","Dolnośląskie","2019 ",1,1
"211",4500,"Jelenia Góra","Dolnośląskie","1999 ",19110,21
"212",7500,"Warszawa","Mazowieckie","2010 ",31550,10
"213",7900,"Łuków","Lubelskie","2015 ",30232,5
"214",17900,"Kraków","Małopolskie","2020 ",1,0
"215",11500,"Rybnik","Śląskie","2015 ",26992,5
"216",17990,"Konstancin-Jeziorna","Mazowieckie","2019 ",1,1
"217",4500,"Strzeleczki","Opolskie","1996 ",13600,24
"218",7500,"Łęczna","Lubelskie","2018 ",2500,2
"219",8500,"Jedlicze","Podkarpackie","1998 ",22870,22
"220",9900,"Aleksandrów Łódzki","Łódzkie","2008 ",59825,12
"221",17700,"Łódź","Łódzkie","2020 ",1,0
"222",6799,"Barlinek","Zachodniopomorskie","2018 ",1,2
"223",11999,"Barlinek","Zachodniopomorskie","2018 ",1,2
"224",12290,"Żyrardów","Mazowieckie","2016 ",33000,4
"225",6900,"Barlinek","Zachodniopomorskie","2009 ",29838,11
"226",7990,"Żyrardów","Mazowieckie","2008 ",27000,12
"227",6599,"Barlinek","Zachodniopomorskie","2019 ",1,1
"228",6900,"Izabelin C","Mazowieckie","2009 ",34000,11
"229",7500,"Borek","Wielkopolskie","2013 ",30200,7
"230",4999,"Radom","Mazowieckie","2006 ",10000,14
"231",5999,"Radom","Mazowieckie","2006 ",16000,14
"232",10799,"Ruda Śląska","Śląskie","2019 ",1,1
"233",18700,"Tychy","Śląskie","2020 ",1,0
"234",2099,"Ząbkowice Śląskie","Dolnośląskie","2020 ",1,0
"235",7999,"Radom","Mazowieckie","2008 ",22000,12
"236",7999,"Radom","Mazowieckie","2008 ",13000,12
"237",4500,"Pilawa","Mazowieckie","2015 ",3200,5
"238",6400,"Gdańsk","Pomorskie","2015 ",4046,5
"239",16900,"Łódź","Łódzkie","2020 ",1,0
"240",14990,"Łódź","Łódzkie","2019 ",1,1
"241",13000,"Ostrołęka","Mazowieckie","2017 ",15000,3
"242",5999,"Kozienice","Mazowieckie","2019 ",1,1
"243",15000,"Dąbrowa Górnicza","Śląskie","2001 ",19500,19
"244",8990,"Ruda Śląska","Śląskie","2019 ",1,1
"245",4500,"Lubsza","Śląskie","1996 ",20227,24
"246",8900,"Milanówek","Mazowieckie","1953 ",1578,67
"247",6900,"Straszów","Łódzkie","2012 ",30500,8
"248",3999,"Rydułtowy","Śląskie","2020 ",1,0
"249",11500,"Gdańsk","Pomorskie","2001 ",22968,19
"250",10999,"Ruda Śląska","Śląskie","2020 ",1,0
"251",4499,"Rzeszów","Podkarpackie","2017 ",1,3
"252",8999,"Rzeszów","Podkarpackie","2018 ",1,2
"253",7990,"Wrocław","Dolnośląskie","2019 ",1,1
"254",12200,"Krosno","Podkarpackie","2015 ",3900,5
"255",17712,"Grzędy","Mazowieckie","2019 ",3523,1
"256",8499,"Lutoryż","Podkarpackie","2008 ",30000,12
"257",14600,"Krzyż Wielkopolski","Wielkopolskie","2006 ",52,14
"258",8400,"Ruda Śląska","Śląskie","2020 ",1,0
"259",18700,"Gdańsk","Pomorskie","2020 ",1,0
"260",17000,"Dąbrowa Górnicza","Śląskie","2003 ",6000,17
"261",11900,"Piaski","Wielkopolskie","2016 ",13777,4
"262",4500,"Piaski","Wielkopolskie","1997 ",16081,23
"263",5800,"Piaski","Wielkopolskie","2019 ",1,1
"264",12500,"Gorlice","Małopolskie","2016 ",12900,4
"265",8299,"Ruda Śląska","Śląskie","2019 ",1,1
"266",13900,"Kraków","Małopolskie","2019 ",1,1
"267",3799,"Wrocław","Dolnośląskie","2020 ",1,0
"268",9499,"Wrocław","Dolnośląskie","2020 ",1,0
"269",7999,"Międzyrzec Podlaski","Lubelskie","2010 ",27050,10
"270",9899,"Wrocław","Dolnośląskie","2020 ",1,0
"271",7990,"Wrocław","Dolnośląskie","2019 ",1,1
"272",5900,"Wrocław","Dolnośląskie","2020 ",1,0
"273",5299,"Wrocław","Dolnośląskie","2019 ",1,1
"274",5990,"Wrocław","Dolnośląskie","2019 ",1,1
"275",2174,"Wrocław","Dolnośląskie","2019 ",1,1
"276",8499,"Ruda Śląska","Śląskie","2020 ",1,0
"277",8800,"Przeźmierowo","Wielkopolskie","2019 ",1,1
"278",16990,"Przeźmierowo","Wielkopolskie","2019 ",1,1
"279",7800,"Przeźmierowo","Wielkopolskie","2019 ",1,1
"280",6499,"Piaski","Wielkopolskie","2020 ",1,0
"281",7990,"Gdańsk","Pomorskie","2000 ",41342,20
"282",4700,"Gdańsk","Pomorskie","1998 ",54385,22
"283",9990,"Gdańsk","Pomorskie","2014 ",34436,6
"284",4300,"Kamienna Wola","Mazowieckie","1997 ",37000,23
"285",15500,"Kraków","Małopolskie","2020 ",1,0
"286",3990,"Gdańsk","Pomorskie","1997 ",63862,23
"287",7999,"Wrocław","Dolnośląskie","2019 ",1,1
"288",8900,"Bodzentyn","Świętokrzyskie","2018 ",1730,2
"289",4400,"Rzeszów","Podkarpackie","1998 ",40000,22
"290",9100,"Gliwice","Śląskie","2020 ",1,0
"291",5999,"Radom","Mazowieckie","1998 ",10000,22
"292",10699,"Radom","Mazowieckie","2000 ",17000,20
"293",10299,"Gliwice","Śląskie","2019 ",1,1
"294",11499,"Warszawa","Mazowieckie","2018 ",2,2
"295",3299,"Rydułtowy","Śląskie","2020 ",1,0
"296",4199,"Rydułtowy","Śląskie","2020 ",1,0
"297",5500,"Grodzisk Mazowiecki","Mazowieckie","2019 ",1,1
"298",21900,"Łódź","Łódzkie","2019 ",1,1
"299",5900,"Elbląg","Warmińsko-mazurskie","2007 ",21000,13
"300",4200,"Gołańcz","Wielkopolskie","1990 ",31390,30
"301",9999,"Radom","Mazowieckie","2009 ",21000,11
"302",6199,"Częstochowa","Śląskie","2020 ",1,0
"303",5999,"Radom","Mazowieckie","2011 ",17000,9
"304",11900,"Radom","Mazowieckie","2020 ",1,0
"305",6900,"Lidzbark Warmiński","Warmińsko-mazurskie","2002 ",12600,18
"306",18700,"Wrocław","Dolnośląskie","2020 ",1,0
"307",18700,"Wrocław","Dolnośląskie","2020 ",1,0
"308",7500,"Dąbrowa Górnicza","Śląskie","1998 ",19000,22
"309",14500,"Gdańsk","Pomorskie","2019 ",1,1
"310",16700,"Gostyń","Śląskie","2020 ",1,0
"311",12900,"Gostyń","Śląskie","2019 ",1000,1
"312",9199,"Częstochowa","Śląskie","2020 ",1,0
"313",10500,"Dąbrowa Górnicza","Śląskie","2002 ",19000,18
"314",11900,"Dąbrowa Górnicza","Śląskie","1999 ",25000,21
"315",16000,"Dąbrowa Górnicza","Śląskie","2001 ",9500,19
"316",8888,"Kokoszkowy","Pomorskie","1998 ",8952,22
"317",9900,"Opole","Opolskie","2012 ",5900,8
"318",7800,"Strzeleczki","Opolskie","1998 ",5500,22
"319",6999,"Połęczyno","Pomorskie","1999 ",9000,21
"320",6900,"Olsztynek","Warmińsko-mazurskie","2014 ",17689,6
"321",10499,"Katowice","Śląskie","2019 ",1,1
"322",6900,"Łódź","Łódzkie","2016 ",8690,4
"323",7800,"Strzeleczki","Opolskie","1998 ",12900,22
"324",8900,"Bolesławiec","Dolnośląskie","2013 ",17668,7
"325",10900,"Dobrodzień","Opolskie","2000 ",17000,20
"326",7200,"Ruda Śląska","Śląskie","2019 ",1,1
"327",8400,"Ruda Śląska","Śląskie","2019 ",1,1
"328",5300,"Piaski","Wielkopolskie","2019 ",1,1
"329",8900,"Grębów","Podkarpackie","1999 ",55958,21
"330",5999,"Piaski","Wielkopolskie","2019 ",1,1
"331",5900,"Piaski","Wielkopolskie","2007 ",35115,13
"332",5900,"Piaski","Wielkopolskie","2010 ",36334,10
"333",6200,"Piaski","Wielkopolskie","2018 ",1,2
"334",4600,"Katowice","Śląskie","2018 ",226,2
